-41	-2	10	-1	-6	7	-4	-5	-7	1	4	1
-25	28	-26	-8	-8	-9	7	-8	1	9	-2	1
-12	34	-5	-4	-34	25	-11	5	-14	3	-2	1
-9	32	5	17	-23	-9	5	0	8	1	-7	1
54	10	-1	4	15	-12	-1	-5	1	-2	6	0
-8	38	18	-6	-7	29	-6	5	1	0	10	1
24	0	-15	19	-5	-12	6	-1	-2	2	-3	0
21	-5	-10	16	-10	-8	1	5	-1	-4	-6	0
-13	23	2	22	-9	-12	0	0	3	2	-1	1
-32	1	5	-1	-1	-4	11	-7	2	2	-2	1
80	59	15	-17	41	23	45	17	10	38	-15	1
-31	0	-1	-9	-8	-5	7	-1	3	0	-5	1
1	-37	7	-10	0	-3	-2	-2	-2	0	-4	0
24	75	20	-24	24	-15	-21	-26	-24	-7	2	1
52	-9	-14	15	17	-4	-9	-12	1	-2	7	0
-1	-3	-21	-8	9	-9	-8	0	2	-3	-1	0
-24	-3	-6	-3	5	1	-1	5	-1	0	2	1
2	-15	10	-10	-10	-11	15	-4	-6	1	5	0
-2	26	-8	-24	-31	-8	-3	0	-10	-5	9	1
53	2	-8	-23	-3	7	-8	-13	-6	-7	2	0
114	24	13	3	-39	47	5	-6	17	-6	-16	0
-17	-1	-7	1	1	-1	-2	3	1	-1	-2	1
-7	17	2	21	-11	-15	-4	5	1	6	3	1
24	10	-19	-3	3	1	1	1	6	-3	2	1
78	-33	11	-5	8	-22	-11	-3	4	-9	7	0
43	4	31	11	-5	-15	-23	6	13	-15	-7	0
-15	6	-12	3	-7	9	3	6	-2	4	7	1
18	-15	1	-2	-16	9	-2	2	-4	7	4	0
6	1	20	7	-9	5	12	11	1	1	9	0
23	-30	-6	5	4	16	4	-5	-5	5	-2	0
-2	5	2	13	4	3	0	2	-5	-2	3	1
15	7	-7	-19	-4	8	-2	5	-4	-6	-3	1
-20	-10	7	8	2	3	-5	-2	-4	-5	-7	1
2	-6	10	-5	-1	-3	15	-2	0	-8	-7	0
-36	-18	7	-13	11	-3	-1	4	4	1	4	1
-20	-5	0	2	-6	-4	2	5	5	-1	-3	1
28	-6	-4	-8	2	-11	11	2	1	-5	3	0
26	-21	12	4	-5	18	-3	-5	-3	2	6	0
-22	9	5	-5	-8	-1	-9	13	-4	-5	-7	1
-30	21	10	12	-2	-23	-12	-5	5	4	-1	1
-22	7	-19	-12	3	-4	-1	-4	2	4	-1	1
9	1	2	10	3	-9	0	7	1	-2	9	0
-7	-16	7	16	3	-6	3	2	-2	3	-6	0
-26	41	-19	6	-20	-9	-13	-2	2	7	-1	1
-33	-9	5	15	2	4	1	8	-2	2	4	1
-8	13	-7	8	-1	-10	8	5	-4	-1	3	1
-17	19	3	4	-11	9	-3	6	-8	0	1	1
47	19	-32	-4	2	-22	-8	6	5	9	-6	0
3	11	-7	10	-6	-16	4	8	3	2	1	1
-28	-9	-11	6	9	4	0	4	1	0	-1	1
110	-12	3	-16	-12	10	-1	8	8	2	4	0
-14	5	-10	15	4	-14	9	-10	3	8	-1	1
-12	31	6	-1	-11	-11	3	-13	8	1	-4	1
9	21	20	-2	3	-15	5	3	-1	-9	0	1
48	25	26	-17	48	9	-9	6	4	3	-4	1
3	35	10	2	-3	-13	-7	4	-4	-5	-2	1
-6	27	-26	-2	1	-16	3	-1	1	4	-11	1
-15	4	-6	7	4	-13	1	-5	-6	-1	-1	1
-4	42	26	-23	15	-23	18	-13	4	-10	-2	1
35	0	-27	2	-9	-8	2	3	0	2	4	0
54	3	-16	10	4	-14	0	-2	-3	8	2	0
-4	-16	7	2	-26	49	9	-8	5	6	-7	0
-22	6	-27	-14	2	-4	5	-2	3	4	4	1
19	-10	5	-9	-13	-6	-3	3	0	5	5	0
108	21	49	-20	-46	-12	1	-10	8	5	22	0
-6	1	-16	-22	-5	1	-4	12	5	1	-3	1
-20	-3	8	-9	26	-2	3	1	6	1	8	1
-35	-9	-6	-3	4	-2	-4	1	-2	0	0	1
-6	-16	-13	23	4	2	6	2	-3	4	-4	0
-2	-25	16	-10	0	14	0	3	-3	3	7	0
18	9	2	-20	-9	-6	1	6	-2	-17	-3	1
35	-25	0	8	1	6	-1	6	-5	1	5	0
-11	17	-19	-8	-8	6	-3	-4	3	-3	-1	1
9	-15	-11	-4	-7	-8	4	5	-3	3	-1	0
8	-15	-7	10	-8	7	0	7	-7	0	5	0
-12	-11	-7	-18	-3	2	1	6	0	-5	2	1
5	-26	1	6	-4	-4	2	-3	1	8	1	0
-17	-4	1	17	2	-7	6	-1	0	4	-2	0
-25	4	17	1	0	-21	-8	15	13	5	1	1
-27	-1	-8	-6	0	1	2	8	1	-3	0	1
32	8	24	-21	-32	13	9	-4	9	5	-19	0
-11	17	4	-20	-10	-19	6	9	1	-13	3	1
-41	17	-21	-11	-8	10	-7	-5	-5	6	0	1
4	-9	3	-5	-6	-2	-6	0	-2	5	2	0
31	-7	13	-11	-5	-11	-1	3	-3	-5	3	0
-21	-20	21	1	6	13	-5	12	1	-1	12	1
-33	1	-13	-12	2	-4	-1	1	2	2	1	1
-45	1	-8	-10	4	2	-2	-8	2	6	3	1
1	18	8	5	-15	5	1	0	1	3	-5	1
11	-18	24	-37	-9	5	10	-8	-2	-8	-5	0
43	-28	-11	-10	-6	3	-4	6	4	8	3	0
-5	15	9	11	2	-19	0	-5	2	-3	-1	1
25	-37	3	-6	2	10	0	-9	-2	-2	2	0
-36	-17	3	1	3	7	0	1	3	-2	-4	1
-37	10	-19	-23	2	-17	0	-4	6	3	0	1
0	-15	12	-7	-4	6	0	3	-2	-2	4	0
33	-22	15	0	8	-19	-12	-2	0	6	-5	0
-24	-11	-2	-5	-5	-3	-3	8	-1	-5	2	1
-20	6	-12	-19	-12	-1	8	5	-4	-2	2	1
-15	-14	-1	6	-1	-4	5	0	1	7	-1	0
30	2	-26	-22	-4	-6	-5	9	7	5	-3	0
-25	30	17	-12	-12	-14	3	-5	9	-8	2	1
-43	14	7	0	-20	13	-6	-1	7	3	9	1
-43	23	-9	-6	-7	3	-6	-10	-1	3	-2	1
37	64	36	-6	26	-3	-7	-8	3	4	-4	1
31	-6	-2	0	13	-3	6	5	7	-5	4	0
-56	-19	12	9	12	10	-3	-3	-1	1	-1	1
-41	3	0	-17	3	-15	-5	-2	-1	2	5	1
52	-53	6	-7	-11	-9	-10	2	10	-1	4	0
