81	4	-25	-26	-13	14	-17	-5	7	5	7	-1
1	-28	-1	-14	1	0	-3	-4	-7	1	4	-1
44	-20	-2	-11	-7	5	3	-1	-4	-7	-3	-1
107	59	-43	20	-18	31	-8	-18	13	-5	-14	-1
20	-12	9	-33	-6	-13	6	-5	-2	4	6	-1
14	3	0	15	15	5	2	-9	-4	-5	2	1
-17	-15	12	13	3	8	2	6	-8	-4	-3	1
-24	-15	15	25	4	1	1	6	-3	-6	-7	1
-15	2	-1	2	7	-9	-7	0	-3	-3	-5	1
-21	-6	8	10	-1	1	1	0	-1	-2	-5	1
-35	9	-9	0	-5	-1	0	3	-8	3	2	1
-12	24	-5	-1	6	-6	4	-9	1	-2	2	1
-30	11	6	5	3	-1	0	-1	-1	4	-4	1
-21	8	13	22	-8	9	-5	-4	-7	3	4	1
28	13	-13	9	-9	-12	-10	2	-11	-2	1	-1
46	8	-30	16	-8	6	1	8	-1	-4	-3	-1
93	30	-35	39	37	-4	-13	-10	11	5	11	-1
-18	-21	3	14	7	2	-5	-4	-3	3	-3	-1
23	-7	-13	1	6	8	-2	-8	4	-3	6	-1
73	22	53	-1	5	25	-25	22	1	-14	-6	-1
-1	-7	22	-2	-2	9	18	-4	-4	-9	-3	-1
62	18	-22	17	21	-2	-7	-1	4	-9	3	-1
51	4	-24	31	8	6	-1	-3	-7	3	1	-1
-44	7	12	9	-6	9	-3	-14	0	0	1	1
-11	12	5	11	2	18	-6	7	-5	-1	-8	1
-29	-10	17	26	1	-6	10	-5	-5	-4	-7	1
-23	26	23	7	-7	4	3	-2	4	0	-8	1
-19	-8	16	24	10	-5	10	-4	-4	1	-3	1
-8	13	25	25	6	-16	12	3	-1	-3	0	1
-29	21	13	8	-16	-9	0	-1	4	-7	7	1
-35	12	32	35	-15	2	-9	-7	2	5	7	1
0	-5	12	-2	28	1	2	4	4	-7	-6	1
-1	8	23	26	14	-17	-2	12	15	5	4	1
-4	-2	16	15	6	-10	-3	-1	-2	-11	-11	1
39	19	-34	2	-5	-4	-4	0	5	3	-1	-1
8	-27	-10	-2	0	-1	2	0	-1	2	0	-1
-4	-16	-4	7	-3	-8	3	2	2	6	-3	-1
45	-3	-22	10	-9	-8	-6	1	-4	1	-1	-1
21	-38	3	-3	-2	-11	8	-3	4	5	-1	-1
-11	0	-9	-13	-9	-1	12	2	0	-1	3	1
-10	5	-22	-4	-3	4	-7	6	-2	-4	-2	1
-24	23	-7	-15	-7	-8	2	4	-2	-1	-2	1
56	13	-18	-17	-6	30	9	2	3	-9	3	-1
11	-45	3	5	-5	-6	-2	-2	-5	3	3	-1
33	-22	-16	6	-13	-8	-1	-3	-5	9	-1	-1
66	6	-11	-18	-25	11	-11	9	-25	-4	7	-1
